nama,alamat,lat,long
Mie Ayam Bakso Pasar Ambon,"Mie Ayam Bakso Pasar Ambon, Jalan Ikan Sebelah, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.450999,105.258928
Mie Ayam Mas Pur,"Mie Ayam Mas Pur, Jalan Ikan Tongkol, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.447685,105.262414
Warteg Bahari,"Warteg Bahari, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451457,105.261769
Mie Ayam Surya,"Mie Ayam Surya, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451025,105.260562
Warung Sopo Sapi,"Warung Sopo Sapi, Jalan Teluk Bone, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.453586,105.258267
WR Ibu Mudin,"WR Ibu Mudin, Jalan Ikan Bawal, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.446253,105.26322
RM Sederhana,"RM Sederhana, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.44335,105.255532
Pisang Ijo Daeng Firqon,"Pisang Ijo Daeng Firqon, Jalan Teluk Bone, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.453862,105.258611
Ayam Bakar Mas Gendut,"Ayam Bakar Mas Gendut, Jalan Katu 2, Kangkung, Bandar Lampung, Lampung, Sumatra, 35223, Indonesia",-5.456198,105.254924
Pawon Aa Nay,"Pawon Aa Nay, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451016,105.257311
Rm Uni Yus,"Rm Uni Yus, Jalan Laksamana R.E. Martadhinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.45397,105.25753
RM Uni Yanti,"RM Uni Yanti, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.452943,105.256896
Mie Ayam Bakso Dodok,"Mie Ayam Bakso Dodok, Jalan Laksamana R.E. Martadhinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 35223, Indonesia",-5.454336,105.256834
Mie Alvin,"Mie Alvin, Jalan Laksamana Malahayati, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.449028,105.262161
Jimbawe Pulu pulu,"Jimbawe Pulu pulu, Jalan Katu 2, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 35223, Indonesia",-5.454756,105.256427
RM Koharu Japannese Food,"RM Koharu Japannese Food, Jalan Ikan Tenggiri, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.448383,105.262123
Mie Ayam Bakso Kiaten,"Mie Ayam Bakso Kiaten, Jalan Ikan Tenggiri, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451003,105.261818
Er Mbak Nina,"Er Mbak Nina, Jalan Ikan Bawal, Kupang Raya, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.446237,105.263302
