nama,alamat,lat,long,image_filename
Dimas Catering,"Dimas Catering, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.44063,105.25516,img_129_Dimas-Catering.jpg
Bakso Latief,"Bakso Latief, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.453203,105.257167,img_130_Bakso-Latief.jpg
Nasi Goreng Jamur Iyus,"Nasi Goreng Jamur Iyus, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.426811,105.245496,img_131_Nasi-Goreng-Jamur-Iyus.jpeg
Bubur Ayam Priyangan,"Bubur Ayam Priyangan, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451158,105.258283,img_132_Bubur-Ayam-Priyangan.jpeg
Mie Ayam Baso Bandung,"Mie Ayam Baso Bandung, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.451063,105.257113,img_133_Mie-Ayam-Baso-Bandung.jpg
Dapur Wong Kito Nian,"Dapur Wong Kito Nian, Gang Laksama, Palapa, Bandar Lampung, Lampung, Sumatra, 35221, Indonesia",-5.427445,105.24529,img_134_Dapur-Wong-Kito-Nian.jpg
Kugikui Korean BBQ,"Kugikui Korean BBQ, Jalan Dokter Setia Budi, Gunung Mas, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.444927,105.255805,img_135_Kugikui-Korean-BBQ.jpeg
Nasi Padang Mak Buyung,"Nasi Padang Mak Buyung, Jalan Basuki Rahmat, Sumur Batu, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.435496,105.251792,img_136_Nasi-Padang-Mak-Buyung.jpeg
Bakmi Ayam Manise,"Bakmi Ayam Manise, Jalan Laksamana R.E. Martadinata, Teluk Betung, Bandar Lampung, Lampung, Sumatra, 34223, Indonesia",-5.450849,105.258602,img_137_Bakmi-Ayam-Manise.jpg
Warung Nasi Pojok Camar,"Warung Nasi Pojok Camar, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.431159,105.24722,img_138_Warung-Nasi-Pojok-Camar.jpg
Ayam Bakar Si Jun,"Ayam Bakar Si Jun, Gang Perkutut, Gulak Galik, Bandar Lampung, Lampung, Sumatra, 35401, Indonesia",-5.433143,105.249218,img_139_Ayam-Bakar-Si-Jun.jpeg
